No;ID Supplier;Nama Supplier;ID Brand;Nama Brand;ID Store;Nama Store;Hari Order;Min. Purchase;Trading Term;Promo Factor;Delay Factor
56;3388;BLSHFL (ONLINE);2230;BLSHFL;37;PT Bersama Distriversa Indonesia;2;500000;0;;
57;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;9;Miss Glam Jambi;4;500000;0;;
58;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;17;Miss Glam Lampung;4;500000;0;;
59;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;20;Miss Glam Palembang;4;500000;0;;
60;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;22;Miss Glam Bangka;4;500000;0;;
61;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;26;Miss Glam Lubuk Linggau;4;500000;0;;
62;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;28;Miss Glam Kedaton;4;500000;0;;
63;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;41;Miss Glam Sei Penuh;4;500000;0;;
64;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);561;GILETTE;42;Miss Glam Mayang;4;500000;0;;
65;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;9;Miss Glam Jambi;3;500000;0;;
66;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;15;Miss Glam Muaro Bungo;3;500000;0;;
67;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;17;Miss Glam Lampung;3;500000;0;;
68;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;18;Miss Glam Bengkulu;3;500000;0;;
69;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;20;Miss Glam Palembang;3;500000;0;;
70;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;22;Miss Glam Bangka;3;500000;0;;
71;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;26;Miss Glam Lubuk Linggau;3;500000;0;;
72;2806;CATUR SENTOSA ADIPRIMA - PPN (PLB);1612;HEAD & SHOULDERS;28;Miss Glam Kedaton;3;500000;0;;
