No;Brand;SKU;Nama;HPP;Harga;Ranking;Grade;Kategori Brand;Kategori;Sub Kategori;Top4000;Terjual;Stok;Last Sales;Lost Days;Velocity Capped;Daily Sales;Lead Time;Max. Daily Sales;Max. Lead Time;Min. Order;Safety Stok;ROP;3W Cover;Sedang PO;Suggested;Amount;Toko;Siklus;[Brand] Promo Factor;[Brand] Delay Factor;[SKU] Promo Factor;[SKU] Delay Factor;[Master - SKU] Promo Factor;[Master - SKU] Delay Factor;Stock Cover;Days to Backup;Qty to Backup
137;AZARINE;20300443727;AZARINE Galactic Shine Lip Gloss;47200;59000;8000;B;BEAUTY MATURE;Lip Make Up;Lip Gloss;0;1;3;2025-10-08;0;0;0,02;3;1;14;1;13,95;14;24;0;21;991200;Miss Glam Padang;21;0;0;0;0;;;150;0;0
138;AZARINE;8997208072927;AZARINE Get Sunkkissed Bronzer 01 Hot Choco 5,2gr;41600;52000;5540;B*;BEAUTY MATURE;Face Make Up;Contour;0;4;5;2025-11-17;0;0;0,07;3;1;14;3;13,8;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;71,43;0;0
139;AZARINE;10700339725;AZARINE Glowkiss Sunscreen Lip Balm - 01 Sunny Dew 3.5gr;52000;65000;9350;C;BEAUTY MATURE;Lip Care;Lip Balm;0;1;4;2025-10-28;0;0;0,02;3;1;14;1;13,95;14;24;0;20;1040000;Miss Glam Padang;21;0;0;0;0;;;200;0;0
140;AZARINE;10700339858;AZARINE Glowkiss Sunscreen Lip Balm - 02 Toasted Bliss 3.5gr;52000;65000;6299;B;BEAUTY MATURE;Lip Care;Lip Balm;0;3;6;2025-11-02;0;0;0,05;3;1;14;1;13,85;14;24;0;18;936000;Miss Glam Padang;21;0;0;0;0;;;120;0;0
141;AZARINE;10700339938;AZARINE Glowkiss Sunscreen Lip Balm - 03 Nectar Glow 3.5gr;52000;65000;7837;B;BEAUTY MATURE;Lip Care;Lip Balm;0;1;2;2025-11-08;0;0;0,02;3;1;14;1;13,95;14;24;0;22;1144000;Miss Glam Padang;21;0;0;0;0;;;100;0;0
142;AZARINE;10700340017;AZARINE Glowkiss Sunscreen Lip Balm - 04 Rosy Blush 3.5gr;52000;65000;8594;C;BEAUTY MATURE;Lip Care;Lip Balm;0;1;11;2025-11-05;0;0;0,02;3;1;14;1;13,95;14;24;0;13;676000;Miss Glam Padang;21;0;0;0;0;;;550;0;0
143;AZARINE;10700340157;AZARINE Glowkiss Sunscreen Lip Balm - 05 Berry Pop 3.5gr;51666;65000;5319;B*;BEAUTY MATURE;Lip Care;Lip Balm;0;4;7;2025-11-04;0;0;0,07;3;1;14;1;13,8;14;24;0;17;878322;Miss Glam Padang;21;0;0;0;0;;;100;0;0
144;AZARINE;8997208072163;AZARINE Hydramax Water Bank Serum 20ml;39200;49000;8075;C;BEAUTY MATURE;Serum;Hydrating;0;1;3;2025-10-18;0;0;0,02;3;1;14;3;13,95;14;24;0;0;0;Miss Glam Padang;21;0;0;0;0;;;150;0;0
145;AZARINE;8997208072194;AZARINE Hydramax-C Sunscreen Serum SPF 50 PA++++ 40ml;47200;59000;170;A;BEAUTY MATURE;Sunscreen;Serum;1;250;107;2025-11-23;0;0;4,24;3;11;14;3;141,29;154;264;12;144;6796800;Miss Glam Padang;21;0;0;50;0;50;;25,24;0;0
146;AZARINE;10400404443;AZARINE Hydrasoothe Sunscreen Gel SPF 45 PA++++ 100ml;92000;115000;758;A;BEAUTY MATURE;Sunscreen;Gel;1;69;10;2025-11-23;0;0;1,17;3;5;14;3;66,49;70;120;36;75;6900000;Miss Glam Padang;21;0;0;50;0;50;;8,55;0;0
