No;supplier_id;brand_id;store_id;order_day;min_purchase;trading_term;promo_factor;delay_factor
1;;1756;37;1;500000;0;;
2;;875;32;1;500000;0;;
3;;875;34;1;500000;0;;
4;;875;38;1;500000;0;;
5;;875;39;1;500000;0;;
6;;875;40;1;500000;0;;
7;;2247;39;2;500000;0;;
8;;384;37;1;500000;0;;
9;;111;19;4;500000;0;;
10;;111;29;4;500000;0;;
11;;111;33;4;500000;0;;
12;;111;36;4;500000;0;;
13;;111;38;4;500000;0;;
14;3180;2406;27;1;500000;0;;
15;3180;2406;34;1;500000;0;;
16;3180;1017;27;1;500000;0;;
17;3180;1017;34;1;500000;0;;
18;3694;326;44;3;500000;0;;
19;3343;326;8;3;500000;0;;
20;3343;326;14;3;500000;0;;
21;3343;326;35;3;500000;0;;
22;3343;326;40;3;500000;0;;
23;3604;1429;37;1;500000;0;;
24;3604;1409;37;1;500000;0;;
25;2482;358;19;2;500000;0;;
26;2482;358;29;2;500000;0;;
27;2482;358;33;2;500000;0;;
28;2482;358;36;2;500000;0;;
29;2482;358;38;2;500000;0;;
30;3448;70;33;1;500000;0;;
31;3448;70;36;1;500000;0;;
32;3410;1450;37;1;500000;0;;
33;3348;2259;37;2;500000;0;;
34;3386;368;30;2;500000;0;;
35;3386;70;30;1;500000;0;;
36;3386;78;30;1;500000;0;;
37;3386;2397;30;1;500000;0;;
38;3386;2089;30;0;500000;0;;
39;3386;130;30;1;500000;0;;
40;3386;366;30;2;500000;0;;
41;3386;163;30;2;500000;0;;
42;3244;778;30;1;500000;0;;
43;3244;1219;30;2;500000;0;;
44;3568;530;37;1;500000;0;;
45;3568;1097;37;2;500000;0;;
46;3568;1943;37;1;500000;0;;
47;3568;922;37;2;500000;0;;
48;3568;2326;37;4;500000;0;;
49;3568;1853;37;1;500000;0;;
50;3206;49;19;1;500000;0;;
51;3206;49;29;1;500000;0;;
52;3206;49;33;1;500000;0;;
53;3206;49;36;1;500000;0;;
54;3206;49;38;1;500000;0;;
55;3206;49;39;1;500000;0;;
56;3388;2230;37;2;500000;0;;
57;2806;561;9;4;500000;0;;
58;2806;561;17;4;500000;0;;
59;2806;561;20;4;500000;0;;
60;2806;561;22;4;500000;0;;
61;2806;561;26;4;500000;0;;
62;2806;561;28;4;500000;0;;
63;2806;561;41;4;500000;0;;
64;2806;561;42;4;500000;0;;
65;2806;1612;9;3;500000;0;;
66;2806;1612;15;3;500000;0;;
67;2806;1612;17;3;500000;0;;
68;2806;1612;18;3;500000;0;;
69;2806;1612;20;3;500000;0;;
70;2806;1612;22;3;500000;0;;
71;2806;1612;26;3;500000;0;;
72;2806;1612;28;3;500000;0;;
73;2806;1612;41;3;500000;0;;
74;2806;1612;42;3;500000;0;;
75;2806;920;9;3;500000;0;;
76;2806;920;15;3;500000;0;;
77;2806;920;17;3;500000;0;;
78;2806;920;18;3;500000;0;;
79;2806;920;20;3;500000;0;;
80;2806;920;22;3;500000;0;;
81;2806;920;26;3;500000;0;;
82;2806;920;28;3;500000;0;;
83;2806;920;41;3;500000;0;;
84;2806;920;42;3;500000;0;;
85;2806;919;9;4;500000;0;;
86;2806;919;17;4;500000;0;;
87;2806;919;20;4;500000;0;;
88;2806;919;22;4;500000;0;;
89;2806;919;26;4;500000;0;;
90;2806;919;28;4;500000;0;;
91;2806;919;41;4;500000;0;;
92;2806;919;42;4;500000;0;;
93;3462;2306;37;2;500000;0;;
94;3728;2300;37;3;500000;0;;
95;3408;2312;37;4;500000;0;;
96;102;1731;7;4;500000;0;;
97;102;1731;21;4;500000;0;;
98;102;131;7;4;500000;0;;
99;102;131;21;4;500000;0;;
100;102;131;31;4;500000;0;;
101;3718;1143;37;2;500000;0;;
102;3286;912;30;1;500000;0;;
103;2421;49;18;1;500000;0;;
104;2421;1589;18;3;500000;0;;
105;3053;349;26;1;500000;0;;
106;3053;2322;26;1;500000;0;;
107;3053;515;26;1;500000;0;;
108;3053;691;26;1;500000;0;;
109;3053;57;26;1;500000;0;;
110;3053;350;26;1;500000;0;;
111;3053;65;26;1;500000;0;;
112;3053;85;26;1;500000;0;;
113;3053;1632;26;1;500000;0;;
114;3053;497;26;1;500000;0;;
115;3053;375;26;1;500000;0;;
116;3053;130;26;1;500000;0;;
117;3053;381;26;1;500000;0;;
118;2831;349;18;1;500000;0;;
119;2831;2322;18;1;500000;0;;
120;2831;515;18;1;500000;0;;
121;2831;57;18;1;500000;0;;
122;2831;350;18;1;500000;0;;
123;2831;65;18;1;500000;0;;
124;2831;85;18;1;500000;0;;
125;2831;1632;18;1;500000;0;;
126;2831;497;18;1;500000;0;;
127;2831;375;18;1;500000;0;;
128;2831;381;18;1;500000;0;;
129;2831;372;18;0;500000;0;;
130;2575;691;18;1;500000;0;;
131;2575;1646;18;4;500000;0;;
132;2575;130;18;1;500000;0;;
133;2575;1460;18;0;500000;0;;
134;2575;372;18;0;500000;0;;
135;2708;1986;28;4;500000;0;;
136;2537;1986;19;4;500000;0;;
137;2301;915;7;0;500000;0;;
138;2301;915;13;0;500000;0;;
139;2301;915;21;0;500000;0;;
140;2301;915;23;0;500000;0;;
141;2301;915;24;0;500000;0;;
142;2301;915;31;0;500000;0;;
143;2301;915;32;0;500000;0;;
144;2301;1534;7;5;500000;0;;
145;2301;1534;13;5;500000;0;;
146;2301;1534;21;5;500000;0;;
147;2301;1534;23;5;500000;0;;
148;2301;1534;24;5;500000;0;;
149;2301;1534;31;5;500000;0;;
150;2301;1534;32;5;500000;0;;
151;2301;1986;7;4;500000;0;;
152;2301;1986;8;4;500000;0;;
153;2301;1986;17;4;500000;0;;
154;2301;1986;21;4;500000;0;;
155;2301;1986;27;4;500000;0;;
156;2301;1986;30;4;500000;0;;
157;2301;1986;31;4;500000;0;;
158;2301;1986;32;4;500000;0;;
159;2301;1986;34;4;500000;0;;
160;3372;131;32;4;500000;0;;
161;3673;691;44;1;500000;0;;
162;3673;130;44;1;500000;0;;
163;2851;474;19;2;500000;0;;
164;2851;474;29;2;500000;0;;
165;2851;474;33;2;500000;0;;
166;2851;474;36;2;500000;0;;
167;2851;474;38;2;500000;0;;
168;2851;474;39;2;500000;0;;
169;3475;387;19;2;500000;0;;
170;3475;387;29;2;500000;0;;
171;3475;387;33;2;500000;0;;
172;3475;387;36;2;500000;0;;
173;3475;387;38;2;500000;0;;
174;3654;1114;44;3;500000;0;;
175;3654;2119;44;3;500000;0;;
176;3654;2247;44;2;500000;0;;
177;3654;22;44;1;500000;0;;
178;3654;287;44;3;500000;0;;
179;2476;163;19;2;500000;0;;
180;2476;163;29;2;500000;0;;
181;2476;163;33;2;500000;0;;
182;2476;163;36;2;500000;0;;
183;2476;163;38;2;500000;0;;
184;3725;497;44;1;500000;0;;
185;3476;368;39;2;500000;0;;
186;3476;136;39;2;500000;0;;
187;3476;152;39;4;500000;0;;
188;3476;366;39;2;500000;0;;
189;3476;163;39;2;500000;0;;
190;3003;914;25;1;500000;0;;
191;3003;2329;25;4;500000;0;;
192;3003;144;25;4;500000;0;;
193;3672;1296;44;3;500000;0;;
194;3672;1545;44;3;500000;0;;
195;2392;38;18;1;500000;0;;
196;2392;1434;18;3;500000;0;;
197;2392;1434;26;3;500000;0;;
198;2392;423;18;2;500000;0;;
199;2392;1160;18;1;500000;0;;
200;2392;1165;18;1;500000;0;;
201;2392;778;18;1;500000;0;;
202;2392;70;18;1;500000;0;;
203;2392;1544;18;2;500000;0;;
204;2392;1198;18;1;500000;0;;
205;2392;1198;26;1;500000;0;;
206;2392;80;18;1;500000;0;;
207;2392;325;18;5;500000;0;;
208;2392;83;18;1;500000;0;;
209;2392;1524;18;1;500000;0;;
210;2392;1524;26;1;500000;0;;
211;2392;1265;18;1;500000;0;;
212;2392;1455;18;2;500000;0;;
213;2392;564;18;2;500000;0;;
214;2392;101;18;1;500000;0;;
215;2392;168;18;1;500000;0;;
216;2392;1135;18;1;500000;0;;
217;2392;1135;26;1;500000;0;;
218;2392;377;18;1;500000;0;;
219;2392;1726;18;2;500000;0;;
220;2392;1726;26;2;500000;0;;
221;2392;1057;18;1;500000;0;;
